indexk,qx,qy,g2EPW,g2W90,g2W90long,g2W90tran,susRe,susIm,d2EPW,d2W90,d2W90long,d2W90tran
1361,-0.4438,-1.0724,450.0486848812826,19293.901598342756,7519.002849027997,11774.898749314621,-17829.835778709526,33607.279306383076,-639.1125852501391,-23224.750615424553,-11417.336010447623,-11807.414604976864
1362,-0.4274,-1.0629,822.8438192785568,21319.648088638653,8343.931014802203,12975.717073836486,-18068.874573857218,30638.24299819376,-1186.4203951045185,-27207.622171064842,-12583.555768903296,-14624.066402161672
1363,-0.4109,-1.0534,1666.031436713235,23543.97932225389,9263.10675634803,14280.872565905964,-18392.594333723762,30823.636621621015,-2459.4797001766533,-32412.75085094271,-13879.346515863053,-18533.404335079624
1364,-0.3945,-1.044,3730.410328514878,25938.362898192227,10256.319629493866,15682.043268698008,-18733.718005790277,30645.92945200309,-5663.788954627205,-39021.38389325597,-15314.355846357024,-23707.02804689861
1365,-0.3781,-1.0345,10200.933953605769,28474.314475106563,11303.7559371135,17170.558537993347,-19293.04323903654,28433.819188225934,-15883.992045798039,-46954.61118506269,-16872.276650301363,-30082.334534761903
1366,-0.3616,-1.025,48580.25000277336,31123.874950934394,12385.987361336445,18737.88758959771,-19794.77793347766,26397.886076821997,-77474.02453894292,-55350.17142763656,-18492.6949940639,-36857.47643357283
1367,-0.3452,-1.0155,2.4273046350546066e7,33859.894271588695,13487.021899548317,20372.872372040274,-20210.20455465437,23972.943449082057,-3.967559710132662e7,-62803.55784013359,-20161.034936043696,-42642.52290408964
1368,-0.3288,-1.006,4.021497971412447e7,36656.1107559684,14591.041556589937,22065.069199378435,-20488.98880999001,20842.818527803007,-6.73057210470434e7,-68764.29755587583,-22016.119759987676,-46748.177795888
1369,-0.3123,-0.9965,4.196890447175394e7,39487.05866026766,15683.695269974953,23803.363390292718,-20685.45828336133,18302.557007611787,-7.185112386450355e7,-73862.8793853451,-24292.4591533904,-49570.420231954464
1370,-0.2959,-0.987,4.396394768893872e7,42327.89087525717,16755.372739360537,25572.51813589669,-20885.59913128303,16691.904775528288,-7.689954956484142e7,-79178.99231312674,-27235.87131316779,-51943.12099995912
1371,-0.2794,-0.9775,4.623152803615933e7,45154.238741950656,17794.54172164605,27359.697020304546,-21124.38446626228,16202.866611719697,-8.25502234430522e7,-85158.74238802558,-30998.13074991538,-54160.61163811017
1372,-0.263,-0.968,4.877054566577683e7,47942.222386960355,18795.844632181117,29146.37775477924,-21422.234470530533,16779.51558590052,-8.89131661779316e7,-92020.0047530234,-35544.88895721515,-56475.115795808604
1373,-0.2466,-0.9585,5.15730525816573e7,50668.66924840718,19752.42256908743,30916.246679319713,-21756.175242949117,18081.959460983508,-9.616251999668057e7,-99309.45175680135,-40346.117760514186,-58963.333996286645
1374,-0.2301,-0.949,5.46326292029043e7,53311.51719415051,20658.856583992172,32652.660610158186,-22080.77744666441,18600.466866032122,-1.0463494497433501e8,-106121.14469817026,-44463.98144784108,-61657.16325032912
1375,-0.2137,-0.9396,5.795232924685366e7,55850.30638340288,21515.33571317098,34334.97067023209,-22378.246685271042,17944.490481504312,-1.1492332179866539e8,-111967.52959222754,-47365.66131344042,-64601.868278787006
1376,-0.1973,-0.9301,6.1552360414389126e7,58266.63160988818,22320.6090360466,35946.0225738414,-22638.26247491353,17210.24404392285,-1.2773567891554376e8,-117098.25698270032,-49261.07050228324,-67837.18648041728
1377,-0.1808,-0.9206,6.547659971387907e7,60544.44393173529,23073.85465173222,37470.58928000334,-23007.353012453772,16857.160713331745,-1.4430328409321365e8,-122382.1727482341,-50808.40433241753,-71573.76841581643
1378,-0.1644,-0.9111,6.97972272392054e7,62670.14520989288,23780.676580674255,38889.46862921893,-23459.572428332507,17169.17721565335,-1.6540430734728947e8,-128223.17603224271,-52329.60192544637,-75893.5741067963
1379,-0.1479,-0.9016,7.461700449274358e7,64632.485823561175,24442.139758839476,40190.34606472183,-23982.38792860561,18534.180794802673,-1.915160265617475e8,-134866.19067234005,-54041.3866004941,-80824.8040718454
1380,-0.1315,-0.8921,8.006854953707601e7,66422.32933420967,25066.5882609085,41355.74107330096,-24563.08086031729,21441.213206853114,-2.2156826578973216e8,-142202.2769852531,-56056.71815953359,-86145.55882571932
1381,-0.1151,-0.8826,8.630893311122218e7,68032.37449221559,25659.105126364997,42373.26936585062,-25106.25111697605,24352.26647659621,-2.516505084849017e8,-149338.57533450983,-58266.39667900371,-91072.17865550601
1382,-0.0986,-0.8731,9.350539165974261e7,69456.92439884519,26226.140031181847,43230.784367663044,-25604.521076238067,24826.274955593082,-2.775136642409953e8,-155967.83181099498,-61339.26133835437,-94628.57047263907
1383,-0.0822,-0.8636,1.0180287174934182e8,70691.77266877139,26778.704301632675,43913.06836713877,-25989.670446929274,24263.00295059803,-2.990798786805204e8,-161163.195568852,-64620.96208319346,-96542.23348565932
1384,-0.0658,-0.8541,1.112554165737981e8,71734.24574957674,27324.633271853698,44409.61247772295,-26294.440711693944,25653.01089869875,-3.190726968794274e8,-165008.39128163832,-67833.34896181613,-97175.04231982275
1385,-0.0493,-0.8447,1.2169322370661761e8,72583.404763166,27872.730644021503,44710.67411914493,-26583.033230175297,28029.48757307772,-3.384516616636415e8,-168044.33607519767,-71281.46770631832,-96762.86836888018
1386,-0.0329,-0.8352,1.3250229904160613e8,73240.37238464112,28434.273757590126,44806.09862705081,-26789.61324517813,29292.730981576093,-3.593745563016452e8,-169707.07465307837,-73806.26082268309,-95900.81383039497
1387,-0.0164,-0.8257,1.4236807322545922e8,73708.71526862364,29017.493072008383,44691.222196615156,-26952.08930789673,29740.625937770485,-3.8188512476543707e8,-170567.08960083264,-75376.4365744312,-95190.65302640194
1388,0,-0.8162,1.4924775660934228e8,73994.78777379793,29631.93235820671,44362.85541559144,-26757.623665806954,29244.90956536349,-3.997529213287403e8,-168272.94648234075,-73516.9463239635,-94756.00015837704
1389,0.0164,-0.8067,1.5102498233820674e8,74107.93755199545,30285.10002851511,43822.83752348046,-27201.168451249217,28529.519630610594,-4.120449738531409e8,-171286.75720359976,-76669.44400869856,-94617.31319490101
1390,0.0329,-0.7972,1.46796527112775e8,74060.49328617382,30984.30167637908,43076.191609794725,-27333.24912490306,28284.009443624513,-4.1172662190558714e8,-171721.58483082041,-76908.90812674632,-94812.676704075
1391,0.0493,-0.7877,1.3759031009146175e8,73867.4969027226,31733.90796319014,42133.588939532114,-27448.840010488562,29072.17408272723,-4.0142297421270716e8,-172023.49263599707,-76815.10426158634,-95208.3883744116
1392,0.0658,-0.7782,1.2560520045382066e8,73546.19586945768,32538.60986117886,41007.58600827872,-27601.350978573955,30227.382003840157,-3.827117005398511e8,-172463.58658226865,-77356.66362023636,-95106.92296203236
