"indexk","kx","ky","band"
509,-0.1721,0.0456,1.8182
510,-0.1721,0.0912,1.8257
511,-0.1721,0.1368,1.8367
512,-0.1721,0.1824,1.8507
513,-0.1721,0.228,1.8671
514,-0.1721,0.2736,1.8853
515,-0.1721,0.3192,1.9043
516,-0.1721,0.3648,1.9232
517,-0.1721,0.4104,1.9408
518,-0.1721,0.456,1.9558
519,-0.1721,0.5016,1.9669
520,-0.1721,0.5472,1.9728
521,-0.1721,0.5928,1.9721
522,-0.1721,0.6384,1.9639
523,-0.1721,0.684,1.9472
524,-0.1721,0.7296,1.9213
525,-0.1721,0.7752,1.8862
526,-0.1147,-0.7752,2.3134
527,-0.1147,-0.7296,2.3518
528,-0.1147,-0.684,2.3807
529,-0.1147,-0.6384,2.4004
530,-0.1147,-0.5928,2.3929
531,-0.1147,-0.5472,2.3955
532,-0.1147,-0.5016,2.4116
533,-0.1147,-0.456,2.403
534,-0.1147,-0.4104,2.39
535,-0.1147,-0.3648,2.3739
536,-0.1147,-0.3192,2.3556
537,-0.1147,-0.2736,2.3359
538,-0.1147,-0.228,2.315
539,-0.1147,-0.1824,2.2917
540,-0.1147,-0.1368,2.2624
541,-0.1147,-0.0912,2.2194
542,-0.1147,-0.0456,2.1674
543,-0.1147,0.,2.1423
544,-0.1147,0.0456,2.1674
545,-0.1147,0.0912,2.2194
546,-0.1147,0.1368,2.2624
547,-0.1147,0.1824,2.2917
548,-0.1147,0.228,2.315
549,-0.1147,0.2736,2.3359
550,-0.1147,0.3192,2.3556
551,-0.1147,0.3648,2.3739
552,-0.1147,0.4104,2.39
553,-0.1147,0.456,2.403
554,-0.1147,0.5016,2.4116
555,-0.1147,0.5472,2.3955
556,-0.1147,0.5928,2.3929
557,-0.1147,0.6384,2.4004
558,-0.1147,0.684,2.3807
559,-0.1147,0.7296,2.3518
560,-0.1147,0.7752,2.3134
561,-0.0574,-0.7752,2.5847
562,-0.0574,-0.7296,2.6044
563,-0.0574,-0.684,2.5461
564,-0.0574,-0.6384,2.4846
565,-0.0574,-0.5928,2.422
566,-0.0574,-0.5472,2.3785
567,-0.0574,-0.5016,2.4003
568,-0.0574,-0.456,2.4756
569,-0.0574,-0.4104,2.5919
570,-0.0574,-0.3648,2.7082
571,-0.0574,-0.3192,2.6907
572,-0.0574,-0.2736,2.6664
573,-0.0574,-0.228,2.6245
574,-0.0574,-0.1824,2.5421
575,-0.0574,-0.1368,2.4227
576,-0.0574,-0.0912,2.2972
577,-0.0574,-0.0456,2.1989
578,-0.0574,0.,2.1609
579,-0.0574,0.0456,2.1989
580,-0.0574,0.0912,2.2972
581,-0.0574,0.1368,2.4227
582,-0.0574,0.1824,2.5421
583,-0.0574,0.228,2.6245
584,-0.0574,0.2736,2.6664
585,-0.0574,0.3192,2.6907
586,-0.0574,0.3648,2.7082
587,-0.0574,0.4104,2.5919
588,-0.0574,0.456,2.4756
589,-0.0574,0.5016,2.4003
590,-0.0574,0.5472,2.3785
591,-0.0574,0.5928,2.422
592,-0.0574,0.6384,2.4846
593,-0.0574,0.684,2.5461
594,-0.0574,0.7296,2.6044
595,-0.0574,0.7752,2.5847
596,0.,-0.7752,2.6071
597,0.,-0.7296,2.6991
598,0.,-0.684,2.6444
599,0.,-0.6384,2.5823
600,0.,-0.5928,2.5139
601,0.,-0.5472,2.4403
602,0.,-0.5016,2.3789
603,0.,-0.456,2.4588
604,0.,-0.4104,2.5768
605,0.,-0.3648,2.7304
606,0.,-0.3192,2.8392
607,0.,-0.2736,2.8293
608,0.,-0.228,2.7079
609,0.,-0.1824,2.5732
610,0.,-0.1368,2.4319
611,0.,-0.0912,2.2974
612,0.,-0.0456,2.1952
613,0.,0.,2.1561
614,0.,0.0456,2.1952
615,0.,0.0912,2.2974
616,0.,0.1368,2.4319
617,0.,0.1824,2.5732
