indexk,kx,ky,g2EPW,g2W90,susRe,susIm,d2EPW,d2W90
3344,-0.6904,-0.8731,5.876185017899847e7,51041.307893201665,-13024.122019378605,1.4347628310090569e-6,-9.467931994019091e7,-48492.144629851085
3345,-0.674,-0.8636,5.935652313737098e7,51903.28030456838,-13157.060647403918,2.091233604910603e-6,-9.603485523010196e7,-49936.75374867761
3346,-0.6575,-0.8541,6.02262980882133e7,53586.98167555413,-13431.208652068903,4.40994989963415e-6,-9.829470057134679e7,-52856.104580281215
3347,-0.6411,-0.8447,6.102724270038095e7,56002.82402780571,-13852.685565513944,0.000013046578578580433,-1.0095757347121482e8,-57289.33815584904
3348,-0.6246,-0.8352,6.149312008505162e7,58970.72734483334,-14433.13721385164,0.00005210304475673392,-1.0362136949482934e8,-63241.40974114624
3349,-0.6082,-0.8257,6.1560345710632436e7,62202.47219186366,-15193.23637669154,0.0002702925137523669,-1.0620145277321687e8,-70651.8041248985
3350,-0.5918,-0.8162,6.13779373780681e7,65318.99538928945,-16156.456354350918,0.0017259510963044417,-1.0891558007592702e8,-79338.04387042066
3351,-0.5753,-0.8067,6.1221020125027806e7,67906.70097989764,-17360.84245227826,0.012955593229385394,-1.1234363434434679e8,-89054.5084489623
3352,-0.5589,-0.7972,6.137224371320643e7,69597.8397771997,-18859.556179823277,0.10918943433272757,-1.172500900512522e8,-99536.06184383361
3353,-0.5425,-0.7877,6.202723214840282e7,70147.18456088407,-20735.411621858093,0.9929337862555185,-1.2449433634957336e8,-110639.52249244977
3354,-0.526,-0.7782,6.324197554133453e7,69477.56443330311,-23088.695247276744,9.164755094713918,-1.3509361056631318e8,-122350.34812910379
3355,-0.5096,-0.7687,6.4913373528985634e7,67680.0785720988,-26132.120289593982,84.62188625656708,-1.505346864500701e8,-135302.546782327
3356,-0.4931,-0.7592,6.6787121450834125e7,64973.5716935576,-30208.57143381549,751.3069742950496,-1.7290444041160733e8,-150830.3229055874
3357,-0.4767,-0.7497,6.850224411500682e7,61642.289990946134,-36012.91062494651,6178.3504282731155,-2.0676877036864817e8,-172076.73733457297
3358,-0.4603,-0.7403,6.967964729084048e7,57974.262797788804,-44852.386270509436,44208.41945647837,-2.6353238474473092e8,-205544.13045790777
3359,-0.4438,-0.7308,7.003546852427074e7,54216.50046265206,-56067.1575170841,207908.92451334067,-3.5377052820385414e8,-250855.94133271117
3360,-0.4274,-0.7213,6.947143836742242e7,50552.44027301998,-56429.60853913273,304679.31282675086,-4.0269558320806205e8,-251601.9912115159
3361,-0.4109,-0.7118,6.809406733318931e7,47098.54006545556,-43920.23516169838,120598.09081231988,-3.473471436758619e8,-193261.50056891408
3362,-0.3945,-0.7023,6.6149691633084595e7,43913.433492422315,-34157.65130633793,29990.07026402038,-2.831137612934983e8,-145158.4623502439
3363,-0.3781,-0.6928,6.390982912973837e7,41013.52791778064,-28627.092224868164,7387.257016624526,-2.398640081064052e8,-116053.51237304304
3364,-0.3616,-0.6833,6.156695799035575e7,38390.77351802681,-25282.21586095319,2011.0442025750249,-2.1029098835747835e8,-97399.80165889028
3365,-0.3452,-0.6738,5.918856121225905e7,36029.85105899559,-23053.079035352912,620.9641109106605,-1.8847264208647215e8,-84436.98045016085
3366,-0.3288,-0.6643,5.6739437389766574e7,33923.10943344524,-21465.760682505315,218.24343104671615,-1.7112965659058315e8,-74917.39146914902
3367,-0.3123,-0.6548,5.4146264392284654e7,32082.594944164222,-20272.475394493245,86.05044421997191,-1.563171598659031e8,-67663.31349195284
